state,town,college1990,male1990,black1990,hisp1990,income1990,logincome1990,subrf2000,gopvoteshare1992,gopvoteshare1996,gopvoteshare2000
Mn,Columbia Heights,0.125574276,0.47652036,0.018079571,0.009723025,3.046899796,1.114124613,25.00679195,0.334698302,0.316602317,0.368301026
Mn,Coon Rapids,0.165086433,0.493865371,0.003855848,0.007147425,4.20690012,1.436726063,25.00679195,0.430965116,0.39394199,0.489312251
Mn,East Bethel,0.081217162,0.514906824,0,0.001364595,3.775399923,1.328506317,0,0.389673105,0.390819672,0.553996883
Mn,Fridley,0.20509325,0.494512081,0.010151393,0.00871123,3.685499907,1.304406176,0,0.394984594,0.36745521,0.426775661
Mn,Ham Lake,0.115797848,0.511878073,0.001006486,0.002012972,4.365699768,1.47377849,25.00679195,0.48192,0.458423717,0.58244595
Mn,Hilltop,0.066265061,0.481879205,0.013531799,0,2.130599976,0.756403619,25.00679195,0.218867925,0.174273859,0.297297297
Mn,Lexington,0.075930141,0.50328517,0.000433839,0.010412147,3.080600023,1.125124391,25.00679195,0.296466974,0.293354943,0.433112583
Mn,Lino Lakes,0.174418598,0.531509042,0.008533573,0.012351224,4.557799816,1.516840011,25.00679195,0.436666667,0.449601864,0.558170106
Mn,Linwood,0.082205027,0.520345569,0,0.004738016,3.742300034,1.319700405,0,0.411271896,0.407687461,0.55862069
Mn,Oak Grove,0.125966489,0.523984551,0,0.00766004,4.381700039,1.477436786,25.00679195,0.455026455,0.43516101,0.574282952
Mn,Ramsey,0.143502325,0.516763389,0.000562339,0.003695373,4.610099792,1.528249504,25.00679195,0.474238106,0.448287275,0.575402805
Mn,Saint Francis,0.091772154,0.509850264,0.003148367,0.001180638,3.247399807,1.177854617,0,0.433417085,0.415384615,0.558275679
Mn,Spring Lake Park,0.150886074,0.491678327,0.005094165,0.013893177,4.061299801,1.40150307,25.00679195,0.370916335,0.338113208,0.434185901
Mn,Audubon,0.064761907,0.507108986,0,0,1.500991702,0.406126024,0,0.511945392,0.46779661,0.619791667
Mn,Callaway,0.039007094,0.533203125,0,0,1.18351233,0.168486568,0,0.405882353,0.41875,0.539267016
Mn,Cormorant,0.143396229,0.519718289,0,0.002808989,2.513900042,0.921835349,0,0.549118388,0.510869565,0.60989011
Mn,Detroit Lakes,0.158896908,0.447475523,0.001051525,0.007060237,1.886199951,0.634564197,0,0.538275862,0.475103734,0.573750753
Mn,Lake Park,0.081196584,0.517305911,0,0,1.268495202,0.237831318,0,0.445012788,0.238286479,0.480916031
Mn,Bemidji,0.247695059,0.472923398,0.00494057,0.005012172,1.600500107,0.470316147,0,0.433885968,0.417086401,0.534468085
Mn,Blackduck,0.117529884,0.447332412,0,0,1.484400034,0.395010673,0,0.530035336,0.504032258,0.613545817
Mn,Kelliher,0.102389075,0.486140728,0,0,1.1235075,0.116455488,0,0.459459459,0.407821229,0.602209945
Mn,Foley,0.128856629,0.454004318,0,0.006462036,2.199199915,0.788093619,0,0.505279035,0.435225619,0.547646383
Mn,Langola,0.121428572,0.538558781,0,0.005044136,3.052100182,1.115829938,0,0.592057762,0.498360656,0.673316708
Mn,Minden,0.177433252,0.525247276,0,0.001040042,3.722800493,1.314476206,0,0.593900482,0.50493653,0.608139535
Mn,Rice,0.087499999,0.48817569,0.006756757,0,3.080899954,1.125221747,0,0.480662983,0.407079646,0.585616438
Mn,Saint Cloud,0.211131275,0.460840344,0.00987613,0.008034818,2.131000042,0.756591373,NA,0.415164369,0.383205204,0.4612286
Mn,Sartell,0.098260872,0.483656496,0,0.002213614,2.01609993,0.701164917,NA,0.451754386,0.362903226,0.547263682
Mn,Sauk Rapids,0.177083328,0.483630955,0.000799269,0.003539621,1.543918729,0.434323813,NA,0.514294135,0.449694717,0.537448737
Mn,Watab,0.145863578,0.511695921,0,0.004987531,3.347500086,1.208213824,0,0.441489362,0.414857143,0.54657873
Mn,Big Stone,0.194444448,0.539285719,0,0.014184397,2.041699886,0.713782738,0,0.393442623,0.446280992,0.496503497
Mn,Clinton,0.10796915,0.50359714,0,0,1.847200036,0.613670999,0,0.265560166,0.238297872,0.348659004
Mn,Graceville,0.116814159,0.421892822,0,0,1.07412982,0.071510864,0,0.436111111,0.32132964,0.491803279
Mn,Ortonville,0.106445894,0.45555082,0,0.003813559,1.055650592,0.054157252,0,0.501006036,0.442857143,0.543046358
Mn,Eagle Lake,0.13879782,0.492072821,0.001171646,0.003514939,3.110699892,1.134847747,0,0.423423423,0.390822785,0.496954933
Mn,Garden,0.196544275,0.52285713,0,0.002849003,3.3125,1.197703191,0,0.524475524,0.519662921,0.622807018
Mn,Good Thunder,0.101190478,0.445783138,0,0,2.265599966,0.81783961,0,0.452173913,0.375,0.5
Mn,Lake Crystal,0.153454542,0.47600767,0,0,2.541699886,0.932833104,0,0.435797665,0.389596603,0.497100249
Mn,Lime,0.167872652,0.520761251,0,0.008650519,3.272099972,1.185431972,0,0.486315789,0.521153846,0.604414261
Mn,Madison Lake,0.14804469,0.52979064,0.003139718,0.06122449,2.1875,0.782759339,0,0.388429752,0.352941176,0.507425743
Mn,Mankato,0.290892482,0.493705928,0.005951676,0.011636859,2.237378597,0.805304911,0,0.405859676,0.396139777,0.477791197
Mn,Mapleton,0.151815176,0.467715681,0,0.009672219,1.40779233,0.342022754,0,0.450301205,0.408839779,0.508599509
Mn,Saint Clair,0.126943007,0.495327115,0,0.001557632,2.98210001,1.092627754,0,0.441860465,0.377850163,0.541450777
Mn,Skyline,0.456043959,0.498168498,0,0,4.458300114,1.494767553,0,0.566137566,0.54589372,0.6
Mn,South Bend,0.126646399,0.500660479,0.005252791,0.017071569,2.855799913,1.049351984,0,0.482421875,0.445026178,0.57844691
