"","voter.id","treatment","victim.status","ge2000","ge2002","fam.members","age","party","sex","pct.white","median.income"
"38862",38276,0,3,"Y",0,1,33,"D","M",0.457627,47030
"38863",38277,1,3,"N",0,1,43,"D","F",0.609812,50740
"38864",38278,0,3,"N",0,1,27,"D","F",0.664753,49861
"38865",38279,0,3,"N",0,1,37,"N","F",0.689599,80745
"38866",38280,0,3,"N",0,2,29,"N","M",0.7135,55039
"38867",38281,0,3,"N",0,2,36,"D","M",0.849126,73125
"38868",38282,0,2,"N",0,1,21,"N","M",0.244715,40048
"38869",38283,0,3,"N",0,1,31,"D","F",0.441368,46976
"38870",38284,0,3,"Y",1,3,30,"N","M",0.912656,65526
"38871",38285,0,3,"Y",0,1,41,"D","F",0.003656,11482
"38872",38286,0,3,"N",0,2,40,"D","M",0.943726,51818
"38873",38287,0,3,"N",0,1,26,"D","F",0.887472,56824
"38874",38288,0,3,"N",0,1,38,"D","M",0.722196,69821
"38875",38289,0,3,"N",0,1,39,"N","F",0.637151,66806
"38876",38290,0,3,"N",0,2,33,"N","F",0.7135,55039
"38877",38291,0,3,"N",0,2,35,"N","M",0.7135,55039
"38878",38292,0,3,"N",0,1,42,"N","F",0.826115,68393
"38879",38293,0,3,"N",0,1,30,"N","F",0.603175,51250
"38880",38294,0,3,"Y",0,1,34,"D","M",0.170424,30274
"38881",38295,0,3,"N",0,1,45,"N","F",0.940623,73125
"38882",38296,0,3,"N",0,4,56,"N","F",0.892746,65066
"38883",38297,0,3,"N",0,1,56,"N","M",0.799748,59286
"38884",38298,1,3,"N",0,1,28,"D","M",0.465209,59167
"38885",38299,0,3,"N",0,4,61,"N","M",0.820742,62131
"38886",38300,0,3,"N",0,4,35,"N","M",0.820742,62131
"38887",38301,0,3,"N",0,4,32,"N","F",0.820742,62131
"38888",38302,0,3,"N",0,2,45,"N","F",0.878344,60528
"38889",38303,0,3,"N",0,2,56,"N","F",0.924603,38472
"38890",38304,0,2,"N",0,1,29,"N","F",0.92386,63222
"38891",38305,0,3,"N",0,1,49,"N","F",0.887472,56824
"38892",38306,0,3,"N",0,1,55,"D","M",0.056125,36378
"38893",38307,0,3,"N",0,1,38,"N","F",0.689034,57500
"38894",38308,0,2,"N",0,1,32,"D","F",0.01289,23945
"38895",38309,0,3,"Y",1,2,59,"N","M",0.885981,78905
"38896",38310,0,3,"N",0,1,70,"D","M",0.959926,64875
"38897",38311,0,2,"N",1,1,34,"N","F",0.924603,38472
"38898",38312,0,3,"N",0,2,43,"D","M",0.354856,51944
"38899",38313,0,3,"N",0,1,28,"D","M",0.92799,49451
"38900",38314,0,3,"N",0,1,35,"D","M",0.78233,49674
"38901",38315,0,3,"N",0,2,20,"N","F",0.585392,31569
"38902",38317,0,3,"N",0,1,25,"N","M",0.104496,43846
"38903",38318,0,3,"N",0,2,53,"D","M",0.891838,46161
"38904",38319,1,3,"N",0,2,71,"D","F",0.108024,40205
"38905",38320,1,3,"N",0,3,20,"D","M",0.039726,30804
"38906",38321,0,3,"Y",1,1,42,"D","F",0.823938,81464
"38907",38322,0,2,"N",0,1,30,"N","M",0.652404,35515
"38908",38323,0,2,"Y",0,1,36,"N","F",0.924603,38472
"38909",38324,0,3,"N",0,2,32,"N","M",0.912656,65526
"38910",38325,0,3,"N",0,1,44,"N","M",0.577074,31750
"38911",38326,0,3,"Y",1,2,45,"N","F",0.652404,35515
"38912",38327,0,3,"Y",1,1,53,"N","F",0.652404,35515
"38913",38328,0,3,"Y",1,2,75,"N","M",0.652404,35515
"38914",38329,0,3,"N",0,2,26,"N","F",0.627966,58619
"38915",38330,0,3,"N",0,1,31,"N","F",0.712379,63250
"38916",38331,0,2,"N",0,3,20,"D","M",0.023764,14519
"38917",38332,0,3,"Y",0,1,47,"N","M",0.597052,28333
"38918",38333,0,3,"Y",1,2,32,"N","F",0.931677,60750
"38919",38334,0,3,"Y",0,2,36,"D","M",0.931677,60750
"38920",38335,0,3,"N",1,2,39,"D","F",0.081545,26821
"38921",38336,0,3,"N",0,2,23,"N","F",0.081545,26821
"38922",38337,0,3,"Y",0,2,27,"N","M",0.858447,57917
"38923",38338,0,3,"Y",1,5,22,"N","M",0.011919,15556
"38924",38339,0,3,"N",0,2,37,"D","M",0.830189,60451
"38925",38340,0,3,"Y",0,1,35,"N","M",0.794296,64783
"38926",38341,0,3,"Y",0,1,35,"D","M",0.303512,50855
"38927",38342,1,3,"N",0,2,30,"D","F",0.372561,47422
"38928",38343,0,3,"Y",0,3,32,"N","F",0.898679,62534
"38929",38343,0,3,"Y",0,3,32,"N","F",0.898679,62534
"38930",38343,0,3,"Y",0,3,32,"N","F",0.898679,62534
"38931",38344,0,3,"N",0,1,31,"N","F",0.892724,165544
"38932",38345,0,3,"N",0,2,25,"D","M",0.791201,70478
"38933",38346,0,3,"N",0,2,32,"D","M",0.646298,66771
"38934",38347,0,3,"N",1,5,21,"D","F",0.007307,13218
"38935",38348,0,3,"N",0,2,37,"D","F",0.69884,60382
"38936",38349,0,3,"N",0,2,26,"D","M",0.627551,70313
"38937",38350,1,3,"N",0,2,30,"N","M",0.717846,107611
"38938",38351,0,3,"N",0,3,48,"N","M",0.902102,73350
"38939",38352,0,3,"N",0,2,31,"D","M",0.794296,64783
"38940",38352,0,3,"N",0,2,31,"D","M",0.794296,64783
"38941",38353,0,3,"N",0,2,28,"N","M",0.912656,65526
"38942",38354,0,3,"N",0,1,48,"N","F",0.912656,65526
"38943",38355,0,3,"Y",0,2,28,"N","M",0.924923,55579
"38944",38356,0,3,"Y",1,1,40,"N","F",0.769776,54896
"38945",38357,0,3,"N",0,3,87,"D","F",0.902102,73350
"38946",38358,0,3,"N",0,3,34,"D","M",0.959352,57560
"38947",38359,0,3,"N",0,2,27,"D","F",0.775321,60694
"38948",38360,0,3,"Y",1,2,38,"D","F",0.247263,26212
"38949",38360,0,3,"Y",1,2,38,"D","F",0.247263,26212
"38950",38361,0,3,"N",0,1,29,"N","M",0.794969,62773
"38951",38362,0,3,"Y",0,3,31,"D","F",0.912656,65526
"38952",38363,0,2,"Y",0,3,34,"D","M",0.912656,65526
"38953",38363,0,3,"Y",0,3,34,"D","M",0.912656,65526
"38954",38364,0,3,"N",0,1,61,"D","F",0.864472,65341
"38955",38365,0,3,"N",0,2,38,"N","F",0.840791,58826
"38956",38366,0,3,"N",0,1,23,"N","F",0.826366,61740
"38957",38367,1,3,"N",0,1,60,"N","M",0.848542,58533
"38958",38368,0,3,"N",0,2,29,"D","F",0.894168,71632
"38959",38369,1,3,"N",0,1,68,"D","F",0.863014,81946
"38960",38370,1,3,"N",0,2,23,"N","M",0.346669,32135
"38961",38371,0,3,"Y",1,2,55,"D","M",0.898679,62534
"38962",38372,0,3,"N",0,2,32,"N","M",0.878344,60528
"38963",38373,0,3,"Y",0,2,32,"D","F",0.878344,60528
"38964",38374,0,3,"N",0,1,31,"N","F",0.7135,55039
"38965",38375,1,3,"N",0,1,31,"N","F",0.864472,65341
"38966",38376,0,3,"N",0,1,29,"N","F",0.721779,51741
